planner,object,initial_pose_seed,planner_seed,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
fixed,L_Shaped,4,0,0.8323155367118368,0.7264066666666666,0.7264066666666666,0.9882809206643621,0.9768333333333333,0.0022848816469408133,,0.0706250393806009,0.4,0.0
fixed,L_Shaped,1,0,0.8086000962425792,0.6909133333333333,0.6909133333333333,0.9686823197772354,0.9392666666666667,0.0024763108232075774,,0.08167687699365615,0.4,0.0
fixed,L_Shaped,12,0,0.8396036099664655,0.7372566666666667,0.7372566666666667,0.9567576026289708,0.9171,0.002638895521351866,,0.05812920302870335,0.4,0.0
fixed,L_Shaped,7,0,0.7660418984166114,0.6432466666666666,0.6432466666666666,0.9520382855346352,0.9084666666666666,0.002734517852013042,,0.09977911352020682,0.4,0.0
fixed,L_Shaped,14,0,0.8229088339910241,0.7075166666666666,0.7075166666666666,0.9361890746617967,0.8800333333333333,0.003224176560536695,,0.08836714754271546,0.2,0.0
fixed,L_Shaped,2,0,0.7777060261745609,0.6533066666666667,0.6533066666666667,0.9147735494139777,0.8429333333333333,0.003594711725193601,,0.09967825505864018,0.2,0.0
fixed,L_Shaped,6,0,0.8032540457781522,0.6906266666666666,0.6906266666666666,0.9222783036660499,0.8557666666666667,0.0035502768128013095,,0.07690143477840095,0.2,0.0
fixed,L_Shaped,3,0,0.7807389668899068,0.6606333333333334,0.6606333333333334,0.978740787390853,0.9583666666666667,0.002398430123223943,,0.07754628422941576,0.4,0.0
fixed,L_Shaped,9,0,0.8116200636193739,0.70006,0.70006,0.9905447693394799,0.9812666666666666,0.0022668237925064423,,0.07496026578766735,0.2,0.0
fixed,L_Shaped,10,0,0.7808260876336575,0.66117,0.66117,0.919016304837402,0.8501666666666666,0.003555207740873722,,0.10126216369667451,0.2,0.0
fixed,L_Shaped,5,0,0.7505311746075278,0.6202233333333333,0.6202233333333333,0.9430478975461095,0.8922333333333333,0.0029355564856257178,,0.10033710729789995,0.4,0.0
fixed,L_Shaped,11,0,0.7921380642780637,0.6684166666666667,0.6684166666666667,0.9369430024273134,0.8813666666666666,0.0029530250246563765,,0.08957324903574633,0.4,0.0
fixed,L_Shaped,0,0,0.8108238206526392,0.7040533333333332,0.7040533333333332,0.9528613064800433,0.9099666666666667,0.002728814216525597,,0.07107958185638252,0.4,0.0
fixed,Cylinder,8,0,0.7280923351974927,0.5932133333333334,0.5932133333333334,0.9233419465977605,0.8576,0.00339319661295204,,0.08693489572929045,0.4,0.0
fixed,Cylinder,13,0,0.7441685320232955,0.6137699999999999,0.6137699999999999,0.9307100085543198,0.8704,0.0032889015224214623,,0.09972299192397735,0.2,0.0
fixed,Cylinder,4,0,0.803982890417956,0.6857133333333334,0.6857133333333334,0.9421907230126408,0.8907,0.002908728040573102,,0.08635928819541414,0.2,0.0
fixed,Cylinder,1,0,0.8271129679767648,0.7238266666666666,0.7238266666666666,0.9745868439492079,0.9504333333333334,0.002391997779381649,,0.07373203341773696,0.4,0.0
