planner,object,initial_pose_seed,planner_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
actnerf,L_Shaped,0,0,0.33203125,0.18046875,60.40541654255871,90.90246893127548
actnerf,L_Shaped,0,1,0.3203125,0.201953125,63.43695621021184,98.16171507187347
actnerf,L_Shaped,0,2,0.26953125,0.19375,57.01393895143315,91.22739782396064
actnerf,L_Shaped,1,0,0.1875,0.162109375,30.989026938967594,58.561298523136585
actnerf,L_Shaped,1,1,0.2578125,0.156640625,39.87451711394294,75.83366751875931
actnerf,L_Shaped,1,2,0.2421875,0.185546875,43.600070727934344,67.6897234927799
actnerf,L_Shaped,2,0,0.33984375,0.224609375,63.99128860422849,92.99980453397148
actnerf,L_Shaped,2,1,0.34375,0.2234375,65.12590358842537,94.88260569594534
actnerf,L_Shaped,2,2,0.39453125,0.243359375,73.35705899100388,102.91637152735031
actnerf,L_Shaped,3,0,0.265625,0.19765625,42.69532396616458,77.30818966601123
actnerf,L_Shaped,3,1,0.265625,0.19765625,42.69532396616458,77.30818966601123
actnerf,L_Shaped,3,2,0.34375,0.221875,63.43695621021184,98.16171507201094
actnerf,L_Shaped,4,0,0.3828125,0.224609375,73.00800000010474,94.76342213121289
actnerf,L_Shaped,4,1,0.32421875,0.20546875,52.388209449742234,85.75744449911386
actnerf,L_Shaped,4,2,0.3046875,0.192578125,60.93571989221406,95.56986607739282
actnerf,L_Shaped,5,0,0.3203125,0.2265625,60.39695621031349,90.044107816454
actnerf,L_Shaped,5,1,0.390625,0.23125,74.58892084710241,97.66334080922093
actnerf,L_Shaped,5,2,0.33984375,0.233984375,63.5505648586129,96.29477390171205
actnerf,L_Shaped,6,0,0.26953125,0.157421875,53.74407072745866,97.97230716923781
actnerf,L_Shaped,6,1,0.40234375,0.242578125,55.25695597495146,93.33741394616513
actnerf,L_Shaped,6,2,0.4140625,0.24296875,59.39510996737164,98.05205287645069
actnerf,L_Shaped,7,0,0.3359375,0.212109375,63.43695621021184,97.65697343034621
actnerf,L_Shaped,7,1,0.3125,0.213671875,61.856035363214154,88.64646460840999
actnerf,L_Shaped,7,2,0.31640625,0.2,65.12590358760085,94.8826056955331
actnerf,L_Shaped,8,0,0.32421875,0.2046875,44.608035363651595,87.56939643501813
actnerf,L_Shaped,8,1,0.328125,0.225390625,64.89603536228798,85.32517890478015
actnerf,L_Shaped,8,2,0.34375,0.232421875,54.752035363175935,88.64818577450872
actnerf,L_Shaped,9,0,0.38671875,0.228125,71.5573811794493,100.22195753026722
actnerf,L_Shaped,9,1,0.265625,0.151953125,57.01393895225765,97.57566677497329
actnerf,L_Shaped,9,2,0.3671875,0.226953125,66.92800000030805,103.09866666646415
actnerf,L_Shaped,10,0,0.27734375,0.190234375,36.18992198524174,69.93812806194423
