planner,object,initial_pose_seed,planner_seeds,f@5_auc,recall@5_auc,surface_coverage_auc,final_f@5,final_recall@5,final_chamfer_m,score_gain_correlation,oracle_regret,oracle_action_accuracy,planning_time_s
actnerf,Bowl,9,3,0.8620300374728643,0.77612,0.77612,0.9486340156763072,0.9044333333333333,0.0027933442027302607,0.3666666666666667,0.016312991495121925,0.4666666666666666,2.3561099753986734
actnerf,Bowl,2,3,0.8793354766515256,0.8038077777777778,0.8038077777777778,0.9822676681090562,0.9652111111111111,0.0024037411519073223,0.3,0.011374447285967357,0.7333333333333334,2.362697424867171
actnerf,Bowl,7,3,0.89267775681643,0.8240255555555556,0.8240255555555556,0.976268826973219,0.9537111111111112,0.0024519496655440285,0.26666666666666666,0.01752280546681134,0.4666666666666666,2.3750713832666706
actnerf,Cube,14,3,0.9003261278209423,0.8341444444444445,0.8341444444444445,0.9865374649437458,0.9741,0.002246207979406111,0.16666666666666666,0.024045313352484592,0.4000000000000001,2.153920786800154
actnerf,Cube,6,3,0.898316904744211,0.8333866666666667,0.8333866666666667,0.9999833328703565,0.9999666666666668,0.002025788807068434,0.3011966128287415,0.025274183454194854,0.4666666666666666,2.1493152140668825
actnerf,Cube,8,3,0.8488046343133927,0.7585533333333334,0.7585533333333334,0.9625717089036812,0.9289222222222223,0.0026797349508898387,0.16666666666666666,0.04667826922582224,0.20000000000000004,2.1593124694661427
actnerf,Cube,12,3,0.8576762641797157,0.7702499999999999,0.7702499999999999,0.990080648432467,0.9807333333333333,0.0021560795994467305,0.3333333333333333,0.04373184498927644,0.26666666666666666,2.1755778056676114
actnerf,Cube,1,3,0.8939429263899387,0.8179922222222222,0.8179922222222222,0.9481487400286793,0.9033777777777777,0.0029869629129444797,0.0,0.04143652881334845,0.26666666666666666,2.1666101747328264
actnerf,Cube,5,3,0.7833961867272997,0.6647022222222222,0.6647022222222222,0.8774687691768276,0.7879999999999999,0.003994971460763754,0.06666666666666665,0.059387715248263355,0.26666666666666666,2.1614013627321884
actnerf,Cube,4,3,0.8949009087090819,0.8275544444444445,0.8275544444444445,0.9768126377016744,0.9565666666666668,0.002480047598247057,-0.13333333333333333,0.03747999194497687,0.3333333333333333,2.1654275971983834
actnerf,Cube,11,3,0.9011542355955431,0.8320177777777777,0.8320177777777777,0.9755504467401641,0.9543111111111111,0.002492816294968578,0.06666666666666667,0.03792151698826123,0.3333333333333333,2.1561871445340026
actnerf,Cube,10,3,0.8713162598012639,0.7892044444444445,0.7892044444444445,0.9761086417243913,0.9553333333333334,0.002497837090085687,0.3422649730810374,0.02964520677676168,0.5333333333333333,2.1508466821314265
actnerf,Cube,3,3,0.8837580416803258,0.8093577777777776,0.8093577777777776,0.97388782385462,0.9514999999999999,0.002527755700426426,0.19999999999999998,0.02430501433817503,0.5333333333333333,2.14704549673382
actnerf,Cube,0,3,0.8358085729072761,0.7463866666666666,0.7463866666666666,0.9628831762725865,0.931088888888889,0.0026280194712535927,0.13333333333333333,0.034489414070480034,0.4666666666666666,2.2045081677322744
actnerf,Cube,13,3,0.8344838530887072,0.7340966666666667,0.7340966666666667,0.9647387904402125,0.9330222222222222,0.002486107548895886,0.13333333333333333,0.04474796522819622,0.4666666666666666,2.167515146335063
