level,variant,object,initial_pose_seed,score_map_correlation,action_flip,top_direction_deviation_deg,oracle_regret
moderate,ray_gpis_pointwise,Thin_Irregular,20,0.4858300311856259,0.0,1.605546929202807,0.0
moderate,ray_gpis_pointwise,Thin_Irregular,21,0.4969336925600592,0.0,11.517717575909867,0.020635330472025815
moderate,ray_gpis_pointwise,Thin_Irregular,22,0.4162865858892194,0.4,41.2090954352248,0.02338022515514382
moderate,ray_gpis,Cube,15,0.6195971965858826,0.1,1.8800164426879895,0.031409627975458966
moderate,ray_gpis,Cube,16,0.125956812199588,0.4,85.32397940628921,6.674006056295312e-06
moderate,ray_gpis,Cube,17,0.09659166668858667,0.4,78.1538136807865,0.000210896197723226
moderate,ray_gpis,Cube,18,0.8012203164339665,0.0,10.498809796040483,0.0
moderate,ray_gpis,Cube,19,0.7676697561724055,0.0,6.513530684920997,0.0
moderate,ray_gpis,Cube,20,0.05118991760128176,0.4,70.93136393332229,9.009457497823891e-05
moderate,ray_gpis,Cube,21,0.8400435955024033,0.0,0.6559838412759458,0.0
moderate,ray_gpis,Cube,22,0.6869608741937702,0.0,1.8251655624913645,0.06795957710602432
moderate,ray_gpis,Cylinder,15,0.01363223134584573,0.75,99.26697002217645,0.0005512126678693108
moderate,ray_gpis,Cylinder,16,0.6916005521858548,0.0,12.893801623757346,0.004500211895191342
moderate,ray_gpis,Cylinder,17,0.8240462352534423,0.0,4.404960111057943,0.0
moderate,ray_gpis,Cylinder,18,0.4735486882009612,0.85,54.833197441188716,0.003414923042132889
moderate,ray_gpis,Cylinder,19,0.834660427157244,0.0,2.557687921316442,0.0
moderate,ray_gpis,Cylinder,20,0.2620703238499722,0.1,30.200986539972273,0.001098218860526523
moderate,ray_gpis,Cylinder,21,0.32574802586404206,0.6,43.0685736513401,0.0
moderate,ray_gpis,Cylinder,22,0.5158778467612726,0.0,25.916003350382947,0.0
moderate,ray_gpis,green_Pepper,15,0.8013165555619134,0.0,7.774827155093322,0.0
moderate,ray_gpis,green_Pepper,16,0.5217008325703821,0.0,9.800683287802332,0.0
moderate,ray_gpis,green_Pepper,17,0.7674973245220583,0.0,4.432103435711425,0.0
moderate,ray_gpis,green_Pepper,18,0.6192562899259703,0.15,13.729753824218625,0.00211652428967663
moderate,ray_gpis,green_Pepper,19,0.6286971060311282,0.0,9.052237792111674,0.0
moderate,ray_gpis,green_Pepper,20,0.503068636987869,0.0,14.38670521302331,0.0
moderate,ray_gpis,green_Pepper,21,0.3527082892294065,0.5,41.13516348507892,0.003262278515808764
moderate,ray_gpis,green_Pepper,22,0.6180767960204567,0.0,8.073736559692836,0.0
moderate,ray_gpis,L_Shaped,15,0.18684442235065227,0.4,78.96323801675534,0.00014520347266417933
moderate,ray_gpis,L_Shaped,16,0.17443454594872965,0.65,63.90000316399458,0.004560537259643499
moderate,ray_gpis,L_Shaped,17,0.14649011501487755,0.45,82.72671473314838,0.002216901262657589
moderate,ray_gpis,L_Shaped,18,0.2546576733806363,0.15,34.98351906908631,0.0008899251999469893
moderate,ray_gpis,L_Shaped,19,0.17924768445341632,0.3,78.07051758113849,0.0005682957541679245
moderate,ray_gpis,L_Shaped,20,0.5526116223831757,0.0,4.6480020247476235,0.0
moderate,ray_gpis,L_Shaped,21,0.1436830166787592,0.4,65.74448957875808,0.006045742882594418
moderate,ray_gpis,L_Shaped,22,0.4056073329137102,0.3,17.920205042668595,2.000133342223709e-05
moderate,ray_gpis,Cross,15,0.7660487317389031,0.0,10.306267660737253,0.0
moderate,ray_gpis,Cross,16,0.6409179016937513,0.25,3.87853959390446,0.006223864768141629
moderate,ray_gpis,Cross,17,0.8242215753032729,0.0,5.167340432980078,0.0
moderate,ray_gpis,Cross,18,0.36786384476180956,0.95,88.73553365487423,0.0027127203005660573
moderate,ray_gpis,Cross,19,0.8601697685397115,0.0,8.82422977330512,0.0
moderate,ray_gpis,Cross,20,0.6853428273060196,0.0,14.791011146418683,0.0
moderate,ray_gpis,Cross,21,0.32609951120471303,0.45,42.06354988821369,0.0021452343387841468
moderate,ray_gpis,Cross,22,0.7854810525864041,0.0,19.271268619175057,0.0
moderate,ray_gpis,Corner,15,0.15029390306706336,0.55,60.81169026036453,0.005842541549540376
moderate,ray_gpis,Corner,16,-0.03223069056987344,0.6,69.15924723552737,0.000703070795962879
moderate,ray_gpis,Corner,17,0.6106890878919662,0.0,9.627108425353097,0.0
moderate,ray_gpis,Corner,18,0.8323538964858873,0.05,2.0589110375873245,0.024812875492864366
moderate,ray_gpis,Corner,19,0.9144811813344011,0.6,4.423787246544307,0.02294012141090116
