j_pos_0,j_pos_1,j_pos_2,j_pos_3,j_pos_4,j_pos_5,j_pos_6,j_pos_7,j_pos_8,j_pos_9,j_pos_10,j_pos_11,j_pos_12,j_pos_13,j_pos_14,j_pos_15,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,tactile_0,tactile_1,tactile_2,tactile_3,tactile_4,tactile_5,tactile_6,tactile_7,tactile_8,tactile_9,tactile_10,tactile_11,tactile_12,tactile_13,tactile_14,tactile_15
0.1580587,-0.271456,1.4496706,-0.36196098,1.6674955,0.7701168,1.4527388,-1.0706601,-0.29599968,0.11203909,0.78085464,-0.35735896,0.79772866,-0.6227376,1.1950297,-0.36349493,0.07611699,1.0,0.26858902,-0.1792881,-0.88990754,0.017212048,-0.51277936,-1.0,0.017387852,-1.0,1.0,-0.87850475,0.7971011,-1.0,-0.22557566,0.89834243,0.14758483,0.25767037,1.0,-0.5528224,-1.0,0.8520849,-0.06845361,-0.99183214,0.5382453,-0.366,1.9362528,0.1277061,1.3640696,-1.34,-0.314,0.34392685,-0.034677032,0.1766369,0.6943775,-0.24164265,0.7200103,-0.31859595,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00607723,-0.39417458,1.4389327,-0.36196098,1.6567576,0.50473833,1.397515,-1.0998056,-0.29599968,0.12891293,0.7777868,-0.35735896,0.9143112,-0.43712592,1.0032818,-0.36349493,-0.0041924044,1.0,-0.58102924,-0.08271827,-0.9890021,0.44841665,0.37523183,-1.0,0.053918406,-1.0,1.0,-0.73355377,0.531392,-1.0,0.06502381,1.0,-0.48518577,-0.12109605,0.17230092,-1.0,-0.3658162,1.0,-0.17775406,-1.047,0.55011094,-0.366,2.094,-0.045265183,1.5315651,-1.34,-0.314,0.49737486,-0.0026706532,0.23681848,0.8943475,-0.29509154,0.5216236,-0.17278154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015398353,-0.503087,1.405185,-0.36196098,1.6905053,0.1933401,1.3039424,-1.1105435,-0.29599968,0.2408936,0.6535345,-0.35735896,0.9495928,-0.25304818,0.89897126,-0.36349493,0.14117321,1.0,-1.0,0.009305343,-0.9424981,1.0,1.0,-0.6290579,0.61129975,-0.26158464,1.0,-0.44664443,-0.18647292,-1.0,0.13155577,0.79947335,-1.0,-1.0,0.56330055,-1.0,0.18575493,0.24636051,-0.13957706,-1.047,0.561111,-0.366,2.094,-0.19722804,1.6500869,-1.34,-0.314,0.68806446,-0.073899105,0.22947942,0.96190965,-0.46578133,0.4234157,0.016381353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17186454,-0.7086406,1.3560975,-0.36196098,1.7242529,0.010796577,1.3162136,-1.1105435,-0.29599968,0.3390684,0.43724304,-0.35735896,1.1367387,-0.32361126,0.7624472,-0.36349493,0.073604025,1.0,-1.0,0.33792078,-1.0,1.0,0.61742896,0.11304915,0.8862974,-1.0,0.7492093,-0.6115561,-0.15800333,-0.3776178,0.21035016,-0.7504118,-0.41785768,-1.0,1.0,-0.9395276,0.7360131,-0.9518368,0.02805835,-1.047,0.6611189,-0.366,2.094,-0.29908374,1.6439556,-1.34,-0.29321066,0.8541181,-0.2481448,0.0680116,1.0655502,-0.65991926,0.4334949,0.09363162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32372868,-0.8482327,1.3591654,-0.36196098,1.7733405,-0.1824851,1.4910877,-1.1105435,-0.29139772,0.32372856,0.25469947,-0.35735896,1.3315537,-0.51842684,0.7072237,-0.36349493,0.7426362,0.6470306,-1.0,0.5841592,-0.21844244,1.0,0.14655752,0.5800985,1.0,-1.0,-0.503806,0.50490916,0.21567053,0.037787825,0.0050147176,-1.0,0.2987975,-1.0,0.79513955,-0.9963959,1.0,-1.0,0.16037408,-1.047,0.82292813,-0.366,2.094,-0.41730386,1.6174488,-1.34,-0.25539675,0.76726294,-0.3498512,-0.12428197,1.2462783,-0.84907126,0.55327284,-0.043212228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33446646,-0.9878251,1.3576314,-0.36196098,1.7564666,-0.36502883,1.6383502,-1.1105435,-0.26378596,0.27924287,0.06295186,-0.35735896,1.5279033,-0.6871648,0.6105829,-0.36349493,0.860861,0.42414394,-1.0,0.5441893,0.57005566,1.0,0.0412007,0.82898283,1.0,-1.0,-0.9112599,0.90923023,0.13715062,0.2960753,0.037648767,-1.0,0.26826617,-0.68804425,0.42551577,-1.0,1.0,-1.0,0.21028642,-0.95619214,1.01529,-0.366,2.0453658,-0.3601624,1.6466547,-1.34,-0.24703161,0.5898919,-0.32238486,-0.32274067,1.4096463,-1.046325,0.73722845,-0.23058102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18873817,-1.0399804,1.3729713,-0.36196098,1.6859033,-0.47700953,1.7748744,-1.1105435,-0.21163069,0.096699476,-0.13339779,-0.35735896,1.5371072,-0.88198036,0.47099072,-0.36349493,0.6624555,0.2504262,-1.0,0.68701905,0.8909713,0.92210114,0.46520683,0.9926305,1.0,-1.0,-1.0,0.7630391,-0.11337429,0.5700153,0.5806205,-1.0,0.26966232,0.68778276,0.21286173,-0.97999483,0.5403208,-0.30911487,0.226861,-0.80539334,1.2137624,-0.366,1.8898374,-0.20325728,1.67444,-1.2954355,-0.23933479,0.3944177,-0.273969,-0.366,1.5104024,-1.047,0.93401957,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.124311,-1.0384464,1.4634764,-0.36196098,1.5309713,-0.36809683,1.7902143,-1.1120775,-0.15794125,-0.07970834,-0.17328116,-0.35735896,1.5417092,-1.0476503,0.34980613,-0.36349493,-0.30807683,-0.09922774,-0.39563632,0.8317885,1.0,0.99245,0.36607364,1.0,0.41990912,-0.79711103,-0.7955637,0.5356692,-0.49133497,1.0,0.91722083,-1.0,0.3945031,1.0,-0.21933271,-0.539981,1.0,0.14838305,0.304609,-0.6164127,1.4134569,-0.366,1.6987317,-0.049789995,1.6618572,-1.1953202,-0.14489613,0.19532286,-0.22113985,-0.28591052,1.5646116,-1.047,1.0598291,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26083547,-0.9540774,1.6797674,-0.36196098,1.4634764,-0.18862104,1.7886803,-1.1120775,-0.0444268,-0.26378608,-0.038290948,-0.355825,1.6644275,-1.0415144,0.43724304,-0.36349493,-0.09027436,-1.0,-0.3461278,-0.6840052,1.0,1.0,-0.17825109,0.5659641,-1.0,0.2302724,-0.1242723,0.18589953,0.18196136,1.0,1.0,-0.9425979,-0.1441142,1.0,-0.32381707,0.6327539,0.5750164,1.0,0.3787304,-0.41861656,1.5205812,-0.366,1.5332203,0.06661054,1.5807271,-1.0152972,0.020746946,-0.0044961125,-0.14745352,-0.10989262,1.5403601,-1.047,1.2449911,-0.36004934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32372868,-0.7347183,1.7380588,-0.36349493,1.2625248,0.03534004,1.6981752,-1.0491843,0.075223744,-0.44786382,0.04147601,-0.19935898,1.733457,-1.0430484,0.6535345,-0.36349493,0.57225114,-1.0,-0.98377204,-1.0,1.0,0.09262116,-0.7824708,-0.7976496,-1.0,-0.14506541,0.18683629,-0.46643153,0.51368,1.0,1.0,0.22645293,1.0,1.0,0.53472614,1.0,-0.38547978,1.0,0.3650345,-0.28850308,1.3820062,-0.3626564,1.4802345,0.11963457,1.5936149,-0.81929255,0.21387558,-0.19527557,-0.15577452,0.085310966,1.4836991,-0.9709064,1.3740261,-0.1988592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
