object,initial_pose_seed,target_point_count,planner,selected_action,missing_patch_recall@5,selected_f@5_gain,selected_recall@5_gain,chamfer_reduction_mm,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy
Cube,22,202,ray_gpis_pointwise,minus_x,0.7425742574257426,0.31283520807565923,0.4091666666666666,6.968123838305473,1.0,0.0,1.0
Cube,22,202,ray_gpis_hit_only,minus_x,0.7425742574257426,0.31283520807565923,0.4091666666666666,6.968123838305473,1.0,0.0,1.0
Cube,22,202,ray_gpis,minus_x,0.7425742574257426,0.31283520807565923,0.4091666666666666,6.968123838305473,1.0,0.0,1.0
Cylinder,15,441,pose_novelty,minus_x,0.08163265306122448,0.16592102474808024,0.2320333333333333,3.5589798353612423,0.5,0.022028823540596654,0.0
Cylinder,15,441,ray_gpis_novelty_only,minus_y,0.7573696145124716,0.1879498482886769,0.26813333333333333,4.257172346115112,1.0,0.0,1.0
Cylinder,15,441,ray_gpis_uncertainty_only,minus_y,0.7573696145124716,0.1879498482886769,0.26813333333333333,4.257172346115112,1.0,0.0,1.0
Cylinder,15,441,ray_gpis_pointwise,minus_y,0.7573696145124716,0.1879498482886769,0.26813333333333333,4.257172346115112,1.0,0.0,1.0
Cylinder,15,441,ray_gpis_hit_only,minus_x,0.08163265306122448,0.16592102474808024,0.2320333333333333,3.5589798353612423,0.5,0.022028823540596654,0.0
Cylinder,15,441,ray_gpis,minus_y,0.7573696145124716,0.1879498482886769,0.26813333333333333,4.257172346115112,1.0,0.0,1.0
Cylinder,16,209,pose_novelty,minus_x,0.0861244019138756,0.11640367511165095,0.14556666666666673,2.4505648761987686,-0.5,0.054508571818820406,0.0
Cylinder,16,209,ray_gpis_novelty_only,minus_x,0.0861244019138756,0.11640367511165095,0.14556666666666673,2.4505648761987686,-0.5,0.054508571818820406,0.0
Cylinder,16,209,ray_gpis_uncertainty_only,minus_x,0.0861244019138756,0.11640367511165095,0.14556666666666673,2.4505648761987686,0.0,0.054508571818820406,0.0
Cylinder,16,209,ray_gpis_pointwise,minus_x,0.0861244019138756,0.11640367511165095,0.14556666666666673,2.4505648761987686,-0.5,0.054508571818820406,0.0
Cylinder,16,209,ray_gpis_hit_only,minus_y,1.0,0.17091224693047136,0.22383333333333333,3.818194381892681,0.5,0.0,1.0
Cylinder,16,209,ray_gpis,minus_x,0.0861244019138756,0.11640367511165095,0.14556666666666673,2.4505648761987686,-0.5,0.054508571818820406,0.0
Cylinder,17,90,pose_novelty,minus_x,0.15555555555555556,0.26040045041158033,0.35383333333333333,6.485346704721451,1.0,0.0,1.0
Cylinder,17,90,ray_gpis_novelty_only,minus_x,0.15555555555555556,0.26040045041158033,0.35383333333333333,6.485346704721451,1.0,0.0,1.0
Cylinder,17,90,ray_gpis_uncertainty_only,minus_x,0.15555555555555556,0.26040045041158033,0.35383333333333333,6.485346704721451,1.0,0.0,1.0
Cylinder,17,90,ray_gpis_pointwise,minus_x,0.15555555555555556,0.26040045041158033,0.35383333333333333,6.485346704721451,1.0,0.0,1.0
Cylinder,17,90,ray_gpis_hit_only,minus_x,0.15555555555555556,0.26040045041158033,0.35383333333333333,6.485346704721451,1.0,0.0,1.0
