planner,object,initial_pose_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
pose_novelty,L_Shaped,6,0.359375,0.215625,62.21704481647392,82.12206339261533
pose_novelty,L_Shaped,7,0.38671875,0.226953125,70.14046726454205,92.97474421698261
pose_novelty,L_Shaped,8,0.38671875,0.226953125,66.74775774573745,98.94629773327019
pose_novelty,L_Shaped,9,0.39453125,0.23203125,81.08611980719893,98.80823419709047
pose_novelty,L_Shaped,10,0.40234375,0.2375,78.12902553207132,101.00571557889674
pose_novelty,L_Shaped,11,0.37890625,0.220703125,72.02304912119479,98.61736726457394
pose_novelty,L_Shaped,12,0.38671875,0.228515625,77.01073668600885,94.72624870261004
pose_novelty,L_Shaped,13,0.359375,0.222265625,70.40103189821787,90.08963244460672
pose_novelty,L_Shaped,14,0.38671875,0.2296875,77.71428854277161,96.75199669510762
pose_novelty,Thin_Irregular,0,0.35546875,0.219140625,68.89913882444937,88.57007232952307
pose_novelty,Thin_Irregular,1,0.359375,0.222265625,71.47522257612654,94.74763344120998
pose_novelty,Thin_Irregular,2,0.26953125,0.18984375,48.25624796423544,89.05574429223209
pose_novelty,Thin_Irregular,3,0.40234375,0.23828125,67.79533745374181,94.00957867468775
pose_novelty,Thin_Irregular,4,0.36328125,0.228515625,75.72177534798121,89.04104998004502
pose_novelty,Thin_Irregular,5,0.390625,0.231640625,76.93987110363705,91.56820069319261
pose_novelty,Thin_Irregular,6,0.40625,0.24296875,79.5473659360981,91.07791005856039
pose_novelty,Thin_Irregular,7,0.37109375,0.2296875,69.27769615717783,101.44307158668012
pose_novelty,Thin_Irregular,8,0.3984375,0.2390625,73.44462958226951,101.02463719023993
pose_novelty,Thin_Irregular,9,0.37890625,0.234765625,65.01863925387691,92.69178099999553
pose_novelty,Thin_Irregular,10,0.40625,0.24140625,75.77170749889373,100.27530819759467
pose_novelty,Thin_Irregular,11,0.38671875,0.231640625,73.48485838533519,93.73845245618092
pose_novelty,Thin_Irregular,12,0.375,0.22578125,66.89084478369901,99.79405838971275
pose_novelty,Thin_Irregular,13,0.3515625,0.2296875,70.07043933037676,91.38088418058399
pose_novelty,Thin_Irregular,14,0.390625,0.23984375,70.57589649928894,94.85525247730423
pose_novelty,green_Pepper,0,0.375,0.22109375,57.96205780138107,87.70819063318235
pose_novelty,green_Pepper,1,0.3515625,0.21640625,69.57636469182269,88.34645848354461
pose_novelty,green_Pepper,2,0.36328125,0.23046875,74.13132526305816,98.94602738929014
pose_novelty,green_Pepper,3,0.3828125,0.225390625,72.77765973107013,92.07901374845063
pose_novelty,green_Pepper,4,0.3671875,0.23515625,62.49923035562803,97.81826528824858
pose_novelty,green_Pepper,5,0.37109375,0.216796875,75.02620007359019,101.00546885963091
pose_novelty,green_Pepper,6,0.31640625,0.216796875,49.956268072882644,86.2142376669142
pose_novelty,green_Pepper,7,0.390625,0.233984375,69.36684594857572,98.4214121757655
pose_novelty,green_Pepper,8,0.37109375,0.225390625,57.0947430947787,95.54296490965834
pose_novelty,green_Pepper,9,0.375,0.230078125,71.54821374353129,101.88538388770966
pose_novelty,green_Pepper,10,0.3515625,0.22578125,78.25112606826022,101.24631701959171
pose_novelty,green_Pepper,11,0.39453125,0.224609375,74.82397750022645,102.71245366310853
pose_novelty,green_Pepper,12,0.3984375,0.23046875,71.21660671903638,101.92808008579664
pose_novelty,green_Pepper,13,0.375,0.234765625,71.05371955312542,96.01903886087743
pose_novelty,green_Pepper,14,0.39453125,0.23984375,82.23770819402097,96.12182682172656
ray_gpis,Bowl,0,0.32421875,0.2140625,63.847224748956435,102.33958981783842
ray_gpis,Bowl,1,0.28515625,0.2,46.83952983183212,92.17622306614894
ray_gpis,Bowl,2,0.27734375,0.2046875,51.017487824511065,96.41617137843713
ray_gpis,Bowl,3,0.2734375,0.189453125,38.445518641502815,67.61565075291848
ray_gpis,Bowl,4,0.26171875,0.199609375,50.8995524899719,86.30160826409278
ray_gpis,Bowl,5,0.328125,0.208984375,66.35661353829165,97.40255715050338
ray_gpis,Bowl,6,0.31640625,0.2078125,61.65036007786877,84.24552662813319
ray_gpis,Bowl,7,0.1484375,0.0953125,13.978221003419716,23.19577877463687
ray_gpis,Bowl,8,0.296875,0.20546875,35.523221176922135,85.15735971811581
ray_gpis,Bowl,9,0.18359375,0.149609375,35.816185137837245,55.33306793364863
ray_gpis,Bowl,10,0.29296875,0.200390625,60.951464122744355,81.47664365960127
ray_gpis,Bowl,11,0.30078125,0.205078125,46.62053309042856,78.49821598843064
ray_gpis,Bowl,12,0.22265625,0.180078125,40.05414387126329,53.066955909823335
ray_gpis,Bowl,13,0.20703125,0.16875,28.83005027415888,42.14129787939036
ray_gpis,Bowl,14,0.1484375,0.110546875,17.567324699116135,24.809126240705787
ray_gpis,Corner,0,0.33203125,0.2125,60.33035603715715,100.45350485615981
ray_gpis,Corner,1,0.37109375,0.23828125,69.70655563971262,92.85746418215489
ray_gpis,Corner,2,0.34375,0.219921875,65.71393864075435,100.84565825830364
ray_gpis,Corner,3,0.2578125,0.193359375,55.15235110166297,91.30560796821307
ray_gpis,Corner,4,0.3828125,0.224609375,72.673054294914,101.72442522896247
ray_gpis,Corner,5,0.40625,0.239453125,81.31883017369636,98.77862527727939
ray_gpis,Corner,6,0.34375,0.22421875,60.229410127135,93.12203373363042
ray_gpis,Corner,7,0.35546875,0.235546875,62.735205151330646,95.83972098270777
ray_gpis,Corner,8,0.34765625,0.21328125,70.16332077619212,94.90296959145103
