sequence,keyframes,condition,trial,target_rotation_rms_deg,target_translation_rms_mm,actual_rotation_rms_deg,actual_rotation_p95_deg,actual_translation_rms_mm,actual_translation_p95_mm,clean_points,reconstruction_points,chamfer_l1_mm,pred_to_ref_mean_mm,ref_to_pred_mean_mm,precision_2mm,recall_2mm,fscore_2mm,precision_5mm,recall_5mm,fscore_5mm,precision_10mm,recall_10mm,fscore_10mm
capture_001,164,5deg_5mm,15,5.0,5.0,5.0,8.02634008964582,5.000000000000001,7.35358220541943,45532,57332,1.4353263025770668,1.6033198195531424,1.2673327856009913,0.7606572245866183,0.8881885267504173,0.8194908700462801,0.9670341170724901,0.975445840288149,0.9712217655998734,0.9903893113793344,0.9886453483264517,0.9895165614461563
capture_001,164,5deg_5mm,16,5.0,5.0,4.999999999999999,8.080141243492328,5.0,7.36155536076535,45532,59485,1.447750688540137,1.6310755337935456,1.2644258432867281,0.7533495839287215,0.8902530088728806,0.8160996298776626,0.9627301000252164,0.9750285513485022,0.9688402981472728,0.9914768429015718,0.9889528243872442,0.9902132252385236
capture_001,164,5deg_5mm,17,5.0,5.0,5.0,7.965369339307874,4.999999999999999,8.06514225258701,45532,57537,1.4545176501727857,1.6187355240039258,1.2902997763416453,0.7707562090480908,0.8898357199332337,0.8260264237127111,0.9612075707805412,0.9726126680137046,0.9668764874596013,0.989206945096199,0.9879425459017833,0.9885743412034814
capture_001,164,5deg_5mm,18,5.0,5.0,5.000000000000001,8.588990526036532,5.000000000000001,7.803762144749125,45532,57743,1.4033928692113866,1.5602225486828747,1.2465631897398985,0.7713489080927558,0.890560484933673,0.8266790723087509,0.9644285887466879,0.9727224808925591,0.9685577797131671,0.991947075836032,0.9901607660546429,0.9910531160187417
capture_001,164,5deg_5mm,19,5.0,5.0,4.999999999999999,8.185356053811965,4.999999999999999,7.22141575193909,45532,58189,1.4751433437343062,1.6680162586226706,1.2822704288459417,0.7575314922064308,0.8937011332689098,0.8200016673930306,0.9557820206568252,0.972524817710621,0.9640807333311381,0.9907027101342178,0.9880303962048669,0.9893647486660159
capture_001,164,10deg_10mm,0,10.0,10.0,10.0,16.01193277236529,10.0,15.818951385942874,45532,76880,2.059544898690637,2.454118542830894,1.6649712545503805,0.6127166666666667,0.8809628393217956,0.7227529228356733,0.8792333333333333,0.9648598787665817,0.920058662806437,0.9791333333333333,0.9819028375647896,0.9805161298110673
capture_001,164,10deg_10mm,1,10.0,10.0,9.999999999999998,17.03742775666653,10.0,15.2833629642108,45532,77389,2.2394717748567454,2.755928092252977,1.7230154574605137,0.5847666666666667,0.8602301677940789,0.6962422557482997,0.8481333333333333,0.9657164192216463,0.9031137055706704,0.9687166666666667,0.9822322762013529,0.9754276553187644
capture_001,164,10deg_10mm,2,10.0,10.0,10.0,15.732221131898221,9.999999999999998,16.437051163904925,45532,76670,2.2444096740770823,2.69304641015782,1.7957729379963439,0.5853,0.8571993323376965,0.695624265425724,0.8586833333333334,0.9629710972502855,0.9078420339313377,0.9729333333333333,0.9813757357462883,0.9771362994101607
capture_001,164,10deg_10mm,3,10.0,10.0,9.999999999999998,15.31810592722443,10.0,15.403884632289865,45532,77734,2.173109047441635,2.6412719547157937,1.704946140167476,0.5781,0.8603839058244751,0.6915446658015243,0.8574333333333334,0.9639154880084336,0.907561758901109,0.9763333333333334,0.9788280769568655,0.9775791135256775
capture_001,164,10deg_10mm,4,10.0,10.0,9.999999999999998,15.839758277251988,9.999999999999998,15.610207756491915,45532,77485,2.1418891374651636,2.612877188448034,1.6709010864822924,0.59495,0.8684222085566196,0.7061331217850175,0.86375,0.9676271633137135,0.9127425841653898,0.9744166666666667,0.9829790037775631,0.9786791078850956
