time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,Cube_picked_frame,Cube_unc_q95,Cube_unc_q99,Cube_unc_max,Cube_unc_top,Cube_score_q95,Cube_score_q99,Cube_score_max,Cube_score_top,L_Shaped_picked_frame,L_Shaped_unc_q95,L_Shaped_unc_q99,L_Shaped_unc_max,L_Shaped_unc_top,L_Shaped_score_q95,L_Shaped_score_q99,L_Shaped_score_max,L_Shaped_score_top
20.0,1.0736809810002645,1.108154296875,1.108154296875,1.108154296875,0.9920714825391769,1.0675098490715025,1.0870482524236043,1.0778053065141042,400,1.1000571250915527,1.1173323392868042,1.1173323392868042,1.1173323392868042,0.9512578278779984,1.0263898825645446,1.06691312789917,1.0469940304756165,400,1.0791197538375854,1.092097282409668,1.092097282409668,1.092097282409668,1.0480438649654389,1.082568244934082,1.088438630104065,1.0853905260562897,400,1.0418660640716553,1.1150332689285278,1.1150332689285278,1.1150332689285278,0.9769127547740936,1.0935714197158812,1.1057929992675781,1.1010313630104065
21.0,1.0465288857618968,1.0828875700632732,1.0828875700632732,1.0828875700632732,0.9467015008131662,1.0393288056055703,1.0582539637883503,1.0487096329530081,420,1.084031581878662,1.1333327293395996,1.1333327293395996,1.1333327293395996,0.9346857577562332,1.046624287366867,1.0870407819747925,1.0656601309776306,420,1.000422716140747,1.0362361669540405,1.0362361669540405,1.0362361669540405,0.9121878951787947,1.008336991071701,1.0177946090698242,1.0135882675647736,420,1.055132359266281,1.0790938138961792,1.0790938138961792,1.0790938138961792,0.9932308495044708,1.0630251383781433,1.0699265003204346,1.06688050031662
22.0,0.9807222992181778,1.0123541752497356,1.0123541752497356,1.0123541752497356,0.805994309981664,0.9014569183190663,0.9219978451728821,0.9125497897466025,440,0.8982419967651367,0.9173825979232788,0.9173825979232788,0.9173825979232788,0.5169859319925308,0.6501811051368713,0.6797450184822083,0.6662082135677337,440,0.992346379160881,1.0278165340423584,1.0278165340423584,1.0278165340423584,0.911078381538391,1.002413467168808,1.0122456550598145,1.007460004091263,440,1.0515785217285156,1.0918633937835693,1.0918633937835693,1.0918633937835693,0.9899186164140701,1.0517761826515197,1.0740028619766235,1.0639811515808106
23.0,0.9922131856282551,1.0263418157895405,1.0263418157895405,1.0263418157895405,0.8285247554381687,0.9312383011976877,0.9531002044677734,0.9426896860202154,460,0.9105551242828369,0.9355183243751526,0.9355183243751526,0.9355183243751526,0.5684890061616897,0.7123106276988983,0.7485451698303223,0.7305743962526321,460,1.0021713256835938,1.0474025011062622,1.0474025011062622,1.0474025011062622,0.9145057797431945,1.0237822127342224,1.0333888530731201,1.0290587246418,460,1.063913106918335,1.096104621887207,1.096104621887207,1.096104621887207,1.0025794804096222,1.0576220631599427,1.077366590499878,1.068435937166214
24.0,0.9920944531758625,1.0266050497690837,1.0266050497690837,1.0266050497690837,0.8282104223966598,0.9311061165730159,0.9533983866373698,0.9428214182456335,480,0.9101989269256592,0.9363080263137817,0.9363080263137817,0.9363080263137817,0.5675460070371627,0.7119140738248825,0.7494397163391113,0.7309695929288864,480,1.0021713256835938,1.0474025011062622,1.0474025011062622,1.0474025011062622,0.9145057797431945,1.0237822127342224,1.0333888530731201,1.0290587246418,480,1.063913106918335,1.096104621887207,1.096104621887207,1.096104621887207,1.0025794804096222,1.0576220631599427,1.077366590499878,1.068435937166214
25.0,1.0319467782974243,1.0708953738212585,1.0708953738212585,1.0708953738212585,0.9577335014939308,1.0403186154365538,1.0546861290931702,1.0481469452381134,-1,nan,nan,nan,nan,nan,nan,nan,nan,500,1.0011436939239502,1.0458669662475586,1.0458669662475586,1.0458669662475586,0.9165725022554397,1.0234408104419708,1.0321834087371826,1.028054666519165,500,1.0627498626708984,1.0959237813949585,1.0959237813949585,1.0959237813949585,0.9988945007324218,1.057196420431137,1.0771888494491577,1.0682392239570617
26.0,0.9912125468254089,1.0419215261936188,1.0419215261936188,1.0419215261936188,0.901784536242485,0.998737436234951,1.015019804239273,1.0076556876301765,-1,nan,nan,nan,nan,nan,nan,nan,nan,520,0.9482581615447998,0.9875684380531311,0.9875684380531311,0.9875684380531311,0.8304415971040725,0.9409689599275589,0.9545233845710754,0.9484535604715347,520,1.034166932106018,1.0962746143341064,1.0962746143341064,1.0962746143341064,0.9731274753808975,1.056505912542343,1.0755162239074707,1.0668578147888184
27.0,0.9618621110916138,1.0125622153282166,1.0125622153282166,1.0125622153282166,0.8446689650416372,0.9646578270196915,0.9849146604537964,0.9765966057777404,-1,nan,nan,nan,nan,nan,nan,nan,nan,540,0.9323144257068634,0.9675309658050537,0.9675309658050537,0.9675309658050537,0.7929592221975326,0.9191843104362488,0.9351356029510498,0.9288600027561188,540,0.9914097964763642,1.0575934648513794,1.0575934648513794,1.0575934648513794,0.8963787078857419,1.010131343603134,1.034693717956543,1.0243332087993622
28.0,0.95535599142313,0.9818718135356903,0.9818718135356903,0.9818718135356903,0.8258332028985023,0.9390364569425582,0.9549014568328857,0.9474546700716018,-1,nan,nan,nan,nan,nan,nan,nan,nan,560,0.9286578029394149,0.9645913243293762,0.9645913243293762,0.9645913243293762,0.7736477762460708,0.9152344411611557,0.9317444562911987,0.9242543041706085,560,0.9820541799068451,0.9991523027420044,0.9991523027420044,0.9991523027420044,0.8780186295509338,0.9628384727239608,0.9780584573745728,0.9706550359725952
29.0,0.9603151217103004,0.9996399283409119,0.9996399283409119,0.9996399283409119,0.8319196492433547,0.9548302704095841,0.9742101728916168,0.9655332744121552,-1,nan,nan,nan,nan,nan,nan,nan,nan,580,0.9253238707780838,0.9616560935974121,0.9616560935974121,0.9616560935974121,0.7683879613876342,0.9079556632041931,0.928476870059967,0.9206460356712342,580,0.9953063726425171,1.0376237630844116,1.0376237630844116,1.0376237630844116,0.8954513370990753,1.001704877614975,1.0199434757232666,1.0104205131530761
30.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
