planner,object,initial_pose_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
ray_gpis,green_Pepper,15,0.3359375,0.201953125,64.91700546819376,98.95888436354313
ray_gpis,green_Pepper,16,0.3515625,0.21640625,66.41960018295123,101.11341416406417
ray_gpis,green_Pepper,17,0.35546875,0.219921875,73.39816569615768,100.74002158794325
ray_gpis,green_Pepper,18,0.38671875,0.234765625,76.39359261362223,101.85969851347494
ray_gpis,green_Pepper,19,0.359375,0.218359375,74.79077070339564,93.84441587529612
ray_gpis,green_Pepper,20,0.3828125,0.234375,73.65645107413852,101.80684339598663
ray_gpis,green_Pepper,21,0.3125,0.1984375,60.8721380105978,96.05192241638365
ray_gpis,green_Pepper,22,0.34375,0.2171875,63.04837475617113,98.1459806136611
ray_gpis_hit_only,Bowl,15,0.23046875,0.16796875,30.10896318198565,59.85684921301924
ray_gpis_hit_only,Bowl,16,0.25,0.1953125,50.485784492529554,58.166585234426975
ray_gpis_hit_only,Bowl,17,0.27734375,0.185546875,41.82258631622208,75.937296208546
ray_gpis_hit_only,Bowl,18,0.3671875,0.22734375,78.60697793932964,95.53461026485823
ray_gpis_hit_only,Bowl,19,0.37890625,0.22265625,54.03931721437459,87.2213883915827
ray_gpis_hit_only,Bowl,20,0.33203125,0.217578125,57.52233358270132,83.3731961493993
ray_gpis_hit_only,Bowl,21,0.375,0.2203125,59.40865743434007,93.17605516530503
ray_gpis_hit_only,Bowl,22,0.32421875,0.208984375,50.80056642281797,87.00101680771554
ray_gpis_hit_only,Corner,15,0.390625,0.238671875,76.80957315995519,98.84496351239856
ray_gpis_hit_only,Corner,16,0.37890625,0.219921875,57.17144619703847,90.27924011277483
ray_gpis_hit_only,Corner,17,0.33203125,0.213671875,63.60080082459571,94.3250634980032
ray_gpis_hit_only,Corner,18,0.38671875,0.237890625,65.7994178551301,90.8600043761889
ray_gpis_hit_only,Corner,19,0.3046875,0.213671875,55.58604426940324,96.87656463900979
ray_gpis_hit_only,Corner,20,0.3359375,0.215625,67.40337520579007,102.44216953189091
ray_gpis_hit_only,Corner,21,0.31640625,0.208984375,67.57091559428383,99.46033352093794
ray_gpis_hit_only,Corner,22,0.359375,0.225,75.21070793417064,93.41928044967668
ray_gpis_hit_only,Cross,15,0.375,0.216015625,57.059297415074,90.28732697787068
ray_gpis_hit_only,Cross,16,0.37109375,0.226953125,64.33148446388682,96.65835172011877
ray_gpis_hit_only,Cross,17,0.3984375,0.23125,70.25314912439777,103.95678375658255
ray_gpis_hit_only,Cross,18,0.3359375,0.21953125,64.24837329602727,94.67536606340767
ray_gpis_hit_only,Cross,19,0.34375,0.218359375,74.81633166802155,95.00260374367976
ray_gpis_hit_only,Cross,20,0.33984375,0.225390625,58.2884968493121,103.22390023376188
ray_gpis_hit_only,Cross,21,0.3359375,0.21953125,68.09973438333833,94.52645871259583
ray_gpis_hit_only,Cross,22,0.37109375,0.219921875,75.3995192203335,101.33811391124921
ray_gpis_hit_only,Cube,15,0.40234375,0.23828125,57.20710500417025,97.91335389761089
ray_gpis_hit_only,Cube,16,0.26953125,0.198828125,53.786190200649834,97.09752305899094
ray_gpis_hit_only,Cube,17,0.375,0.23203125,72.89146858284104,103.79653316201505
ray_gpis_hit_only,Cube,18,0.32421875,0.221484375,52.16677622393504,95.33820444926549
ray_gpis_hit_only,Cube,19,0.3515625,0.212109375,68.97954308791816,102.04851246441423
ray_gpis_hit_only,Cube,20,0.38671875,0.230859375,79.30540967015324,103.28673599539866
ray_gpis_hit_only,Cube,21,0.3671875,0.2328125,63.35822100207041,98.89928309073042
ray_gpis_hit_only,Cube,22,0.3359375,0.2140625,66.33805855099607,101.85685528302564
ray_gpis_hit_only,Cylinder,15,0.34765625,0.215625,70.38738850913462,89.33162105387338
ray_gpis_hit_only,Cylinder,16,0.34765625,0.226171875,52.39573811165267,93.33089557468027
ray_gpis_hit_only,Cylinder,17,0.40625,0.23515625,73.52135862143405,99.42083139641335
ray_gpis_hit_only,Cylinder,18,0.37109375,0.233984375,73.16454738349049,102.69357652246886
ray_gpis_hit_only,Cylinder,19,0.375,0.208203125,65.55172744648034,95.6630716859626
ray_gpis_hit_only,Cylinder,20,0.2890625,0.209375,60.77406483063504,82.22726503548998
ray_gpis_hit_only,Cylinder,21,0.36328125,0.217578125,73.63583558898337,89.93622313005338
ray_gpis_hit_only,Cylinder,22,0.34375,0.2171875,64.45303340779294,97.21837987838485
