object,initial_pose_seed,planner,selected_action,target_point_count,missing_patch_recall@5,selected_f@5_gain,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy,planning_time_s,gap_score_recovery_correlation,gap_oracle_regret_recall@5,gap_oracle_action_accuracy
Cube,17,pose_novelty,minus_x,7,1.0,0.2168667639701266,1.0,0.0,1.0,0.0001702250010566786,0.8660254037844387,0.0,1.0
Cube,17,actnerf,minus_x,7,1.0,0.2168667639701266,0.5,0.0,1.0,4.717986719013425,0.8660254037844387,0.0,1.0
Cube,17,pb_nbv,minus_y,7,0.8571428571428571,0.07311375908516604,-0.5,0.14375300488496057,0.0,3.6030438199959463,-0.8660254037844387,0.1428571428571429,0.0
Cube,17,ray_gpis,minus_x,7,1.0,0.2168667639701266,0.5,0.0,1.0,0.26913234099629335,0.8660254037844387,0.0,1.0
Cube,18,pose_novelty,minus_x,356,0.5870786516853933,0.2512507506668611,0.5,0.0,1.0,0.0001818690070649609,-0.5,0.2752808988764045,0.0
Cube,18,actnerf,plus_z,356,0.8623595505617978,0.18370153719196847,0.5,0.06754921347489262,0.0,3.5581185260089114,1.0,0.0,1.0
Cube,18,pb_nbv,minus_x,356,0.5870786516853933,0.2512507506668611,nan,0.0,1.0,0.6605207280081231,nan,0.2752808988764045,0.0
Cube,18,ray_gpis,minus_x,356,0.5870786516853933,0.2512507506668611,0.5,0.0,1.0,0.1543535120144952,-0.5,0.2752808988764045,0.0
Cube,19,pose_novelty,minus_x,104,0.0,0.22398861282525706,1.0,0.0,1.0,0.0001842760102590546,-1.0,1.0,0.0
Cube,19,actnerf,minus_y,104,0.9326923076923077,0.12262247254920011,0.5,0.10136614027605695,0.0,5.178670982000767,-0.5,0.06730769230769229,0.0
Cube,19,pb_nbv,minus_y,104,0.9326923076923077,0.12262247254920011,-0.5,0.10136614027605695,0.0,2.5662969859840814,0.5,0.06730769230769229,0.0
Cube,19,ray_gpis,minus_x,104,0.0,0.22398861282525706,1.0,0.0,1.0,0.4409087210078724,-1.0,1.0,0.0
Cube,20,pose_novelty,minus_x,23,1.0,0.2151818604445822,1.0,0.0,1.0,0.0001813509879866615,0.5,0.0,1.0
Cube,20,actnerf,minus_x,23,1.0,0.2151818604445822,1.0,0.0,1.0,4.369750288009527,0.5,0.0,1.0
Cube,20,pb_nbv,plus_z,23,0.5652173913043478,0.05367051877149631,-1.0,0.1615113416730859,0.0,0.7554030099854572,-0.5,0.4347826086956522,0.0
Cube,20,ray_gpis,minus_x,23,1.0,0.2151818604445822,1.0,0.0,1.0,0.17113265799707733,0.5,0.0,1.0
Cube,21,pose_novelty,minus_x,421,0.35391923990498814,0.21827085388815737,1.0,0.0,1.0,0.0002030019968515262,-1.0,0.6080760095011877,0.0
Cube,21,actnerf,minus_x,421,0.35391923990498814,0.21827085388815737,1.0,0.0,1.0,5.117352087996551,-1.0,0.6080760095011877,0.0
Cube,21,pb_nbv,plus_z,421,0.9619952494061758,0.14825487488845934,-1.0,0.07001597899969803,0.0,2.458826941001462,1.0,0.0,1.0
Cube,21,ray_gpis,minus_x,421,0.35391923990498814,0.21827085388815737,0.5,0.0,1.0,0.46456147701246664,-0.5,0.6080760095011877,0.0
Cube,22,pose_novelty,minus_x,248,0.5161290322580645,0.19032686533615195,0.5,0.014586745705497672,0.0,0.00024089198268484324,-0.5,0.4717741935483871,0.0
Cube,22,actnerf,minus_x,248,0.5161290322580645,0.19032686533615195,0.5,0.014586745705497672,0.0,3.667265406998922,-0.5,0.4717741935483871,0.0
Cube,22,pb_nbv,plus_z,248,0.9758064516129032,0.12182863272885824,-1.0,0.08308497831279138,0.0,0.28704264701809734,-0.5,0.012096774193548376,0.0
Cube,22,ray_gpis,minus_x,248,0.5161290322580645,0.19032686533615195,0.5,0.014586745705497672,0.0,0.15866718599863816,-0.5,0.4717741935483871,0.0
Cylinder,15,pose_novelty,minus_x,378,0.5026455026455027,0.2277378823008016,0.5,0.0,1.0,0.00041516500641591847,-1.0,0.4894179894179894,0.0
Cylinder,15,actnerf,minus_x,378,0.5026455026455027,0.2277378823008016,1.0,0.0,1.0,4.520869647996733,-0.5,0.4894179894179894,0.0
Cylinder,15,pb_nbv,minus_y,378,0.7671957671957672,0.16952461852210354,nan,0.058213263778698066,0.0,0.3400679240003228,nan,0.22486772486772488,0.0
Cylinder,15,ray_gpis,minus_y,378,0.7671957671957672,0.16952461852210354,-0.5,0.058213263778698066,0.0,0.24476274600601755,-0.5,0.22486772486772488,0.0
Cylinder,16,pose_novelty,minus_x,175,0.13142857142857142,0.1626318251460993,0.5,0.03630673932198114,0.0,0.000331653980538249,-0.5,0.8685714285714285,0.0
Cylinder,16,actnerf,minus_x,175,0.13142857142857142,0.1626318251460993,0.5,0.03630673932198114,0.0,4.501348940990283,-0.5,0.8685714285714285,0.0
Cylinder,16,pb_nbv,plus_z,175,0.9714285714285714,0.14134481625039297,-0.5,0.05759374821768748,0.0,0.3467727300012484,0.5,0.02857142857142858,0.0
Cylinder,16,ray_gpis,minus_y,175,1.0,0.19893856446808045,1.0,0.0,1.0,0.16302859999996144,0.5,0.0,1.0
Cylinder,17,pose_novelty,minus_x,23,0.043478260869565216,0.2515780346612341,1.0,0.0,1.0,0.0001825279905460775,-0.5,0.782608695652174,0.0
Cylinder,17,actnerf,minus_x,23,0.043478260869565216,0.2515780346612341,1.0,0.0,1.0,3.522396703992854,-0.5,0.782608695652174,0.0
Cylinder,17,pb_nbv,plus_z,23,0.5652173913043478,0.043583735007224456,-1.0,0.20799429965400962,0.0,0.8610464110097382,0.5,0.26086956521739135,0.0
Cylinder,17,ray_gpis,minus_x,23,0.043478260869565216,0.2515780346612341,1.0,0.0,1.0,0.20919562599738128,-0.5,0.782608695652174,0.0
Cylinder,18,pose_novelty,minus_x,371,0.3018867924528302,0.22484955702406473,0.5,0.0,1.0,0.00020021299133077264,-1.0,0.6145552560646901,0.0
Cylinder,18,actnerf,plus_z,371,0.9164420485175202,0.16435659693451388,-0.5,0.06049296008955085,0.0,4.084750483991229,1.0,0.0,1.0
Cylinder,18,pb_nbv,minus_y,371,0.6900269541778976,0.1571970199722844,-1.0,0.06765253705178031,0.0,0.2999059810099425,0.5,0.2264150943396226,0.0
Cylinder,18,ray_gpis,minus_x,371,0.3018867924528302,0.22484955702406473,0.5,0.0,1.0,0.1539344470220385,-1.0,0.6145552560646901,0.0
Cylinder,19,pose_novelty,minus_x,197,0.03553299492385787,0.163427125373804,0.5,0.009566461396769865,0.0,0.00017352499708067626,-0.5,0.9593908629441624,0.0
