object,initial_pose_seed,mean_branch_first_second_error_deg,max_branch_first_second_error_deg,planner,selected_action,selected_gain_f@5,selected_gain_recall@5,selected_chamfer_reduction_mm,selected_recovery_recall@5,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy,selected_first_second_error_deg,selected_accepted_frames,planning_time_s
Cube,4,43.63444109686472,52.268448080867074,ray_gpis,minus_x,0.09507186779484056,0.1422,2.578912395321703,0.41815330327386785,-0.5,0.01410551269377247,0.0,45.08940537858663,17,1.168328676983947
Cube,5,60.52341140692539,65.46209248772897,pose_novelty,minus_x,0.23636848121632226,0.3607666666666667,5.3532199156198494,0.8509985846831263,1.0,0.0,1.0,65.02729438501424,16,0.00020991200290154666
Cube,5,60.52341140692539,65.46209248772897,ray_gpis,minus_x,0.23636848121632226,0.3607666666666667,5.3532199156198494,0.8509985846831263,0.5,0.0,1.0,65.02729438501424,16,0.14979452500119805
Cube,6,59.0886426284801,69.66690726912759,pose_novelty,minus_x,0.3350846159092873,0.49620000000000003,6.8177331542540225,0.9741509063542961,1.0,0.0,1.0,69.66690726912759,23,0.00019158999202772975
Cube,6,59.0886426284801,69.66690726912759,ray_gpis,minus_x,0.3350846159092873,0.49620000000000003,6.8177331542540225,0.9741509063542961,1.0,0.0,1.0,69.66690726912759,23,0.8818252950004535
Cube,7,31.118127712598508,52.268448080867074,pose_novelty,minus_y,0.04913329055642324,0.057566666666666655,0.9680212270323878,0.1161934101259041,-0.5,0.2525165616397187,0.0,33.545469831140444,7,0.00019592299940995872
Cube,7,31.118127712598508,52.268448080867074,ray_gpis,minus_x,0.30164985219614193,0.44010000000000005,8.399361651440554,0.8843423519957139,0.5,0.0,1.0,7.540465225788005,24,0.12903639198339079
Cube,8,51.82694172704504,69.66690726912759,pose_novelty,minus_y,0.16161290638007464,0.24006666666666665,3.9318793299686545,0.6129004844055409,-0.5,0.08144788594212105,0.0,33.545469831140444,7,0.00020594200759660453
Cube,8,51.82694172704504,69.66690726912759,ray_gpis,minus_x,0.24306079232219568,0.3904333333333333,5.673148251453229,0.9954108948754993,1.0,0.0,1.0,69.66690726912759,23,1.0609994389960775
Cube,9,50.23280769956144,69.66690726912759,pose_novelty,minus_x,0.3345195729537367,0.5013333333333334,8.709612842820652,1.0,0.5,0.0,1.0,69.66690726912759,21,0.00042856999789364636
Cube,9,50.23280769956144,69.66690726912759,ray_gpis,plus_z,0.3064357498526932,0.44670000000000004,8.146427829170047,0.8910239361702128,0.5,0.028083823101043515,0.0,62.36265620934178,25,0.12760952798998915
Cube,10,44.69328872894258,62.36265620934178,pose_novelty,minus_x,0.3272117552686382,0.49053333333333327,8.45117473731761,0.9891224064996978,0.5,0.0,1.0,20.636362629452986,16,0.00019652700575534254
Cube,10,44.69328872894258,62.36265620934178,ray_gpis,plus_z,0.32335771713109296,0.4829,8.453711794723606,0.9732088900825892,0.5,0.003854038137545257,0.0,62.36265620934178,25,0.9136141460039653
Cube,11,34.74452443830082,52.268448080867074,pose_novelty,minus_x,0.27132764281126553,0.3809666666666667,7.7749580323775085,0.7571768752480487,1.0,0.0,1.0,17.62276010128139,18,0.00019385000632610172
Cube,11,34.74452443830082,52.268448080867074,ray_gpis,minus_x,0.27132764281126553,0.3809666666666667,7.7749580323775085,0.7571768752480487,1.0,0.0,1.0,17.62276010128139,18,0.91643689799821
Cube,12,36.76718186402312,55.322817829862394,pose_novelty,minus_x,0.3144276910946191,0.44153333333333333,8.284779565158548,0.832401181423993,0.5,0.0,1.0,20.636362629452986,16,0.00019209198944736272
Cube,12,36.76718186402312,55.322817829862394,ray_gpis,minus_x,0.3144276910946191,0.44153333333333333,8.284779565158548,0.832401181423993,0.5,0.0,1.0,20.636362629452986,16,0.12490632700792048
Cube,13,54.67828556796122,65.46209248772897,pose_novelty,minus_y,0.2932122358833714,0.3844666666666666,7.583885060010894,0.6849323201139872,-0.5,0.05395913107946104,0.0,33.545469831140444,5,0.00018919000285677612
Cube,13,54.67828556796122,65.46209248772897,ray_gpis,plus_z,0.30403717521281415,0.4026333333333333,7.97047375139857,0.7171693184516742,-0.5,0.043134191750018314,0.0,65.46209248772897,11,0.1195749890175648
Cube,14,36.84473905636506,65.46209248772897,pose_novelty,minus_x,0.33588086555982744,0.48356666666666664,9.180403273036386,0.9163140276637403,1.0,0.0,1.0,7.540465225788005,24,0.00024417000531684607
Cube,14,36.84473905636506,65.46209248772897,ray_gpis,minus_x,0.33588086555982744,0.48356666666666664,9.180403273036386,0.9163140276637403,1.0,0.0,1.0,7.540465225788005,24,0.12321903900010511
