planner,object,initial_pose_seed,mean_action_so3_error_deg,mean_nominal_target_view_error_deg,stall_action_rate,slip_action_rate,persistent_misalignment_action_rate,episode_stall_or_slip_rate,fault_action_gain_f@5,fault_action_regret_f@5,post_fault_next_gain_f@5,post_fault_next_regret_f@5,fault_actions,post_fault_decisions
ray_gpis_novelty_only,green_Pepper,13,37.9885724703784,22.431058774414083,0.2,0.0,0.0,1.0,0.024636187946732613,0.005135196896286942,0.11213397101454214,0.0,1,1
ray_gpis_novelty_only,green_Pepper,14,51.250810431127924,47.97215077759773,0.2,0.0,0.0,1.0,0.02700932311278459,0.0,0.09245331432223947,0.0,1,1
ray_gpis_pointwise,Bowl,0,83.25030547097155,79.87236342843217,0.6,0.0,0.0,1.0,0.031805703656645666,0.007465889461740631,0.09622838846260633,0.01466198129248882,3,3
ray_gpis_pointwise,Bowl,1,41.928616266618306,17.435674499523266,0.0,0.2,0.0,1.0,0.017142352418516027,0.01023443405107305,nan,nan,1,0
ray_gpis_pointwise,Bowl,2,42.5521234014323,36.80189508554728,0.0,0.4,0.4,1.0,0.08775420567185621,0.0002783610558030891,0.024692949225091132,0.007388511605382897,2,1
ray_gpis_pointwise,Bowl,3,37.50621606606251,29.423071590637836,0.0,0.4,0.8,1.0,0.18604349351423982,0.0,0.03684941056456609,0.04617785783649064,2,2
ray_gpis_pointwise,Bowl,4,59.209546662979925,56.152163482239175,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
ray_gpis_pointwise,Bowl,5,64.62549525002771,62.07057431072111,0.2,0.2,0.4,1.0,0.0026062549809988678,0.005923542215218958,0.09999165053982284,0.0,1,1
ray_gpis_pointwise,Bowl,6,37.90547897028441,33.49605154310992,0.2,0.0,0.0,1.0,0.1017395732539148,0.0,nan,nan,1,0
ray_gpis_pointwise,Bowl,7,45.352161146911996,26.327531863984564,0.2,0.2,0.4,1.0,0.04008260523985552,0.0,0.07326057538197417,0.01949513198622843,1,1
ray_gpis_pointwise,Bowl,8,62.57705395723811,58.4445280939947,0.4,0.2,0.4,1.0,0.09929086959686736,0.011838633179480307,0.06858404806398424,0.006603426799297041,2,2
ray_gpis_pointwise,Bowl,9,65.34936344018948,60.9801180595637,0.6,0.2,0.4,1.0,0.0706862384210278,0.03554272120896925,0.0690996578411896,0.021078754673315547,3,2
ray_gpis_pointwise,Bowl,10,50.38290930674736,48.99851156250775,0.6,0.0,0.0,1.0,0.07951205280584814,0.054665170962573506,0.11341380081038181,0.03912233662308712,3,3
ray_gpis_pointwise,Bowl,11,47.68745206092683,44.132274170731286,0.0,0.2,0.4,1.0,0.07371222353986817,0.10162822310812836,0.0008630131318321244,0.0,1,1
ray_gpis_pointwise,Bowl,12,62.236155471652864,51.718887218172405,0.4,0.2,0.0,1.0,0.03799606813837564,0.022100533688325614,0.11097062794085022,0.0,3,2
ray_gpis_pointwise,Bowl,13,61.24548779985029,24.728261914071457,0.4,0.8,0.8,1.0,0.0658556313560629,0.03915693909242898,0.025561612981875204,0.04630417803142669,4,3
ray_gpis_pointwise,Bowl,14,52.99332319237453,21.05348260933312,0.6,0.0,0.0,1.0,0.03156345801575396,0.020567665951031433,0.03182732773096103,0.021166150229586178,3,2
ray_gpis_pointwise,Corner,0,74.76838709246807,70.27575134652484,0.2,0.4,0.8,1.0,0.09794771992978552,0.004035938399285344,0.18569419165183437,0.0,2,1
ray_gpis_pointwise,Corner,1,65.36004295433554,60.1256193138676,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
ray_gpis_pointwise,Corner,2,54.80225037494315,53.09696743001666,0.2,0.2,0.2,1.0,0.09002048409903463,0.0,-0.005639188199890621,0.0017073509543050758,1,1
ray_gpis_pointwise,Corner,3,69.53880602797942,65.77939594429897,0.4,0.0,0.0,1.0,0.01967215367890429,0.0020276420278687035,0.13400653676454544,0.0,2,1
ray_gpis_pointwise,Corner,4,53.74517482006398,51.46949278658839,0.2,0.2,0.2,1.0,0.05096341885237149,0.004560647543028651,0.00042725766818957345,0.0069484854317557465,2,2
ray_gpis_pointwise,Corner,5,47.340403344296774,31.187194681022817,0.2,0.2,0.4,1.0,0.0662488004537996,0.0,-0.003102499511441592,0.01375020968277263,2,1
ray_gpis_pointwise,Corner,6,47.79889071979375,43.58066282939574,0.2,0.2,0.8,1.0,0.11596425074719846,0.0,0.09356917654618113,0.0,2,2
ray_gpis_pointwise,Corner,7,75.969666675111,70.27650506202455,0.4,0.4,0.6,1.0,0.09784130813267564,0.01522030996194175,0.14425328142022356,0.0,4,3
ray_gpis_pointwise,Corner,8,60.771782225373805,50.42452839055576,0.2,0.6,0.4,1.0,0.08743108059283308,0.0,0.09772106203590536,0.0,4,3
ray_gpis_pointwise,Corner,9,54.38717299674744,39.83844967500797,0.2,0.0,0.0,1.0,0.026095102049485508,0.018346400494314463,nan,nan,1,0
ray_gpis_pointwise,Corner,10,75.06877097575796,74.66666533758081,0.6,0.2,0.4,1.0,0.0647436737682973,0.008543527208952878,0.10201006298951894,0.0,4,3
ray_gpis_pointwise,Corner,11,52.00708577220663,48.027910332392324,0.4,0.2,0.4,1.0,0.07071676577238943,0.018047516598834412,0.08745918541035491,0.009785380379797223,3,3
ray_gpis_pointwise,Corner,12,58.827026396838036,47.04406133516137,0.4,0.2,0.0,1.0,0.038693882584397286,0.0,0.06616475217530554,0.0,3,2
ray_gpis_pointwise,Corner,13,44.468157999049865,40.782986184504146,0.2,0.2,0.8,1.0,0.097804602327251,0.010165216957925771,0.009958257680449112,0.01217591014182351,2,2
ray_gpis_pointwise,Corner,14,53.80483527049262,47.22757400209628,0.2,0.0,0.0,1.0,0.14092371499495338,0.0,0.0715653191832657,0.0,1,1
